"label_id	anchor_x	anchor_y	anchor_z	bb_min_x	bb_min_y	bb_min_z	bb_max_x	bb_max_y	bb_max_z	n_pixels"	organelle
"1.0	8.110717613651712	1.8198669125666356	1.3688153659989735	2.172	0.792	0.48	15.048	3.18	2.22	703267.0"	mitochondria
"2.0	7.0306310861227725	1.8878954982076563	1.5574286340681462	5.868	1.044	0.972	8.268	2.688	2.16	1053647.0"	nucleus
"3.0	8.762877857906119	1.9045259961696712	1.1931406701528524	3.372	0.588	0.276	13.284	3.168	2.376	5811510.0"	plastid
"4.0	8.971412548983452	1.9182930247568117	1.1288350375731897	7.0920000000000005	0.996	0.744	10.572000000000001	2.7600000000000002	1.548	433820.0"	pyrenoid
