"label_id	anchor_x	anchor_y	anchor_z	bb_min_x	bb_min_y	bb_min_z	bb_max_x	bb_max_y	bb_max_z	n_pixels"	organelle
"1.0	8.938585141807907	1.5051397029173132	5.038440901747649	5.088	0.312	1.932	12.168000000000001	2.868	7.74	788602.0"	mitochondria
"2.0	6.327682880536517	1.872288017189458	3.1886856380121436	5.328	1.032	2.136	7.296	2.736	4.0920000000000005	1535825.0"	nucleus
"3.0	9.568429821579036	1.7324846621397354	4.932296990884767	6.444	0.552	2.244	12.852	3.204	8.304	5953112.0"	plastid
"4.0	9.538805475527514	1.7401861389644462	4.888769430718965	8.208	0.96	3.708	11.148	2.556	6.444	497048.0"	pyrenoid
