label_id	volume_micron_cubed	surface_area_micron_squared	ratio_percent
1.0	7.4806	69.41	3.8645451260000003
2.0	15.817	41.56	8.171204216
3.0	53.3387	274.23	27.55525133
4.0	7.3327	55.085	2.959239679
5.0	18.1587	32.51	7.328261835
6.0	67.99	390.164	27.43855684
7.0	5.51	88.46600000000001	2.704427211
8.0	14.32	38.56	7.028565819
9.0	59.1245	268.393	29.01958378
